"filename", "language", "Markdown", "C#", "XML", "comment", "blank", "total"
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Checklists\Checklist.cs", "C#", 0, 109, 0, 12, 20, 141
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Checklists\ChecklistGroup.cs", "C#", 0, 24, 0, 0, 5, 29
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Checklists\ChecklistItems\BaseChecklistItem.cs", "C#", 0, 39, 0, 4, 13, 56
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Checklists\ChecklistItems\ChecklistEntry.cs", "C#", 0, 16, 0, 4, 5, 25
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Checklists\ChecklistItems\ChecklistItemType.cs", "C#", 0, 27, 0, 16, 13, 56
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Checklists\ChecklistItems\ChecklistStateChangedEventArgs.cs", "C#", 0, 14, 0, 0, 2, 16
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Checklists\ChecklistItems\IUpdatable.cs", "C#", 0, 7, 0, 0, 1, 8
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Checklists\ChecklistItems\InformationalChecklistItem.cs", "C#", 0, 16, 0, 11, 2, 29
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Checklists\ChecklistItems\StateMonitorChecklistItem.cs", "C#", 0, 164, 0, 21, 31, 216
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Data\Checklists\A32NX Checklists.xml", "XML", 0, 0, 54, 1, 0, 55
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\FSUIPC\DoubleVar.cs", "C#", 0, 6, 0, 0, 1, 7
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\FSUIPC\FSUIPC.cs", "C#", 0, 227, 0, 2, 58, 287
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\FSUIPC\OffsetVar.cs", "C#", 0, 23, 0, 0, 3, 26
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\FSUIPC\ResponseHandler.cs", "C#", 0, 20, 0, 0, 6, 26
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\FSUIPC\Variable.cs", "C#", 0, 22, 0, 0, 5, 27
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\FSUIPC\VariableGroup.cs", "C#", 0, 73, 0, 1, 19, 93
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\FSUIPC\VariableGroupManager.cs", "C#", 0, 137, 0, 0, 30, 167
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\MSFSHelper.Core.csproj", "XML", 0, 0, 16, 0, 5, 21
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Serialization\IPostDeserialization.cs", "C#", 0, 7, 0, 0, 1, 8
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Serialization\Serialization.cs", "C#", 0, 73, 0, 0, 18, 91
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper.Core\Services\VariableService.cs", "C#", 0, 17, 0, 0, 5, 22
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper\Helpers\ChecklistItemRenderer.cs", "C#", 0, 30, 0, 0, 7, 37
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper\Helpers\ConsoleHelper.cs", "C#", 0, 35, 0, 0, 9, 44
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper\MSFSHelper.csproj", "XML", 0, 0, 15, 0, 5, 20
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper\Program.cs", "C#", 0, 42, 0, 19, 22, 83
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper\Views\ChecklistMenu.cs", "C#", 0, 29, 0, 3, 8, 40
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper\Views\ChecklistView.cs", "C#", 0, 90, 0, 30, 29, 149
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper\Views\ConsoleScreen.cs", "C#", 0, 81, 0, 37, 19, 137
"d:\Projects\MSFSHelper\MSFSHelper\MSFSHelper\Views\View.cs", "C#", 0, 9, 0, 0, 3, 12
"d:\Projects\MSFSHelper\MSFSHelper\README.md", "Markdown", 3, 0, 0, 0, 3, 6
"Total", "-", 3, 1337, 85, 161, 348, 1934
